sample_id,nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],regression_target,classification_target
100-17-4,0,0.0,1.47,0.14,1.7,0.88,0,1,5,0.93,1
32669-06-0,1,5.784,1.98,0.19,3.9,1.85,0,0,4,2.6,1
375-95-1,0,2.944,0.06,0.1,4.66,1.2,0,0,2,3.4,2
94-74-6,1,3.992,1.32,0.18,2.09,1.13,0,0,3,0.0,3
218-165-4,0,3.611,0.05,0.1,5.57,1.47,0,0,2,3.46,2
101-20-2,3,5.34,2.1,0.18,3.99,1.46,2,1,4,1.99,1
66-81-9,0,4.078,0.29,0.22,1.02,2.84,1,1,10,0.21,1
119-33-5,0,0.0,1.5,0.15,1.7,0.92,0,1,5,0.96,1
1222-05-5,0,6.285,1.27,0.22,4.25,2.96,0,0,2,3.02,3
120-83-2,2,0.0,1.24,0.2,2.73,0.63,0,0,1,1.71,1
95-49-8,1,0.0,1.24,0.22,3.21,0.85,0,0,0,1.86,1
88-73-3,1,0.0,1.51,0.16,2.51,0.72,0,1,4,1.44,1
18936-52-2,3,4.437,1.56,0.28,1.87,1.16,0,1,5,2.33,1
1241-94-7,1,5.547,1.7,0.23,5.21,3.52,0,0,19,2.59,3
298-00-0,2,4.447,1.47,0.26,1.6,1.18,0,1,9,1.89,1
581-40-8,0,6.423,2.38,0.18,3.96,1.46,0,0,0,2.71,1
38411-22-2,6,6.545,2.4,0.21,6.47,1.21,0,0,0,5.43,2
75-25-2,3,0.0,0.0,2.23,2.42,0.14,0,0,0,1.18,1
52712-05-7,7,6.654,2.35,0.21,6.7,1.19,0,0,0,5.93,2
56113-42-9,4,4.239,1.49,0.17,2.71,0.86,1,1,9,0.49,1
696-44-6,0,0.0,1.23,0.19,2.19,1.12,0,1,0,0.86,1
55290-64-7,2,0.0,0.86,0.36,-0.23,1.17,0,0,4,0.63,1
"66441-23-4,71283-80-2",1,7.079,3.18,0.15,3.47,2.55,0,1,11,0.69,3
89-63-4,1,0.0,1.5,0.16,1.97,0.74,0,1,4,1.06,3
"35822-46-9,37871-00-4",7,7.447,2.51,0.18,4.8,1.21,0,0,4,3.67,3
91-23-6,0,3.446,1.52,0.14,1.7,0.89,0,1,5,0.6,1
52712-04-6,6,6.577,2.34,0.21,6.47,1.2,0,0,0,5.81,2
623-26-7,0,0.0,1.79,0.15,1.4,0.78,0,1,0,0.23,1
18259-05-7,5,6.366,2.29,0.2,6.23,1.23,0,0,0,4.85,1
299-84-3,5,4.275,1.29,0.3,3.32,1.07,0,0,5,3.58,1
156-43-4,0,0.0,1.21,0.17,1.58,1.26,0,1,1,0.76,1
1746-01-6,4,7.183,2.48,0.18,4.09,1.23,0,0,4,4.79,1
83121-18-0,2,5.597,2.16,0.14,3.99,1.54,2,1,5,2.81,1
81-16-3,1,6.771,2.59,0.19,1.44,1.18,0,1,9,0.53,1
877-11-2,5,0.0,1.27,0.23,5.21,0.8,0,0,0,3.83,1
126-73-8,1,1.946,0.1,0.32,3.23,3.38,0,0,12,1.38,3
131-57-7,0,5.981,2.21,0.15,3.18,1.54,0,0,7,2.03,1
120-54-7,6,3.367,0.14,0.46,1.94,2.75,2,1,0,1.18,3
67747-09-5,3,5.091,1.71,0.19,3.37,2.41,1,1,6,2.59,1
95-51-2,1,0.0,1.24,0.19,2.13,0.68,0,1,0,0.93,1
87-86-5,5,0.0,1.27,0.21,3.91,0.6,0,0,1,2.67,3
57117-31-4,5,7.974,3.26,0.18,5.22,1.2,0,0,2,4.13,3
79-34-5,4,0.0,0.0,0.5,2.6,0.3,0,0,0,1.07,1
28076-73-5,4,6.124,2.28,0.2,4.97,1.24,0,0,2,4.14,1
118-44-5,0,6.455,2.38,0.17,3.21,1.7,0,1,0,2.35,1
52888-80-9,1,4.492,1.12,0.25,3.09,2.65,1,1,3,2.84,1
115-86-6,1,6.124,2.23,0.19,4.79,2.09,0,0,21,2.38,3
108-62-3,0,0.0,0.0,0.18,0.98,1.78,0,0,8,1.04,2
7287-19-6,1,3.726,1.22,0.23,2.89,2.13,0,1,0,1.93,1
629-25-4,0,1.946,0.12,0.31,4.17,2.97,0,0,2,2.4,3
1563-66-2,0,5.098,1.37,0.18,1.46,1.79,1,0,7,1.08,1
117-18-0,4,0.0,1.5,0.19,4.0,0.68,0,1,4,3.25,1
13071-79-9,4,0.0,0.11,0.65,1.97,2.26,0,0,2,2.73,1
108-95-2,0,0.0,1.23,0.17,1.51,0.66,0,0,1,0.9,1
608-93-5,5,0.0,1.26,0.23,4.93,0.6,0,0,0,3.84,1
2497-06-5,4,1.099,0.3,0.59,0.62,2.36,0,0,4,0.52,1
32598-14-4,5,6.529,2.31,0.21,6.23,1.21,0,0,0,4.28,1
87-82-1,6,0.0,1.27,0.37,6.0,0.59,0,0,0,3.0,3
603-11-2,0,5.078,1.71,0.12,1.43,0.94,0,1,18,0.55,1
10541-83-0,0,0.0,1.35,0.15,1.47,1.02,0,1,4,0.07,1
94-75-7,2,3.992,1.32,0.18,2.35,0.92,0,0,3,-0.5,3
116714-46-6,1,5.979,2.11,0.13,3.33,2.01,2,1,8,3.32,1
"1461-22-9,56573-85-4",2,0.0,0.0,1.38,4.76,3.41,0,0,0,3.3,1
78-51-3,1,3.434,0.07,0.28,2.44,4.63,0,0,15,0.67,3
99-30-9,2,0.0,1.48,0.17,2.57,0.73,0,1,4,1.88,1
19666-30-9,2,6.208,1.6,0.2,4.03,2.42,1,1,6,2.49,3
69327-76-0,1,5.548,1.34,0.23,2.96,2.66,2,1,4,2.71,1
111479-05-1,1,7.438,3.55,0.16,3.11,3.08,0,1,9,2.77,1
1687-30-5,0,2.303,0.26,0.2,0.73,1.54,0,0,12,0.05,1
54135-82-9,3,0.0,1.25,0.21,3.62,0.77,0,0,1,3.09,1
121-75-5,3,1.386,0.26,0.43,0.49,2.23,0,0,10,1.26,1
779-02-2,0,7.808,3.54,0.16,4.59,1.67,0,0,0,2.72,3
21087-64-9,1,0.0,0.89,0.23,1.6,1.43,1,1,3,1.02,1
51-44-5,2,0.0,1.36,0.18,2.89,0.73,0,0,4,0.1,3
74051-80-2,1,4.5,0.69,0.27,2.3,3.71,0,1,9,0.93,3
834-12-8,1,3.446,1.22,0.21,2.59,2.01,0,1,0,1.52,1
86-30-6,0,5.614,2.13,0.15,3.22,1.4,1,1,4,1.41,3
62-56-6,1,0.0,0.24,0.29,-1.43,0.21,2,0,0,0.05,1
119446-68-3,2,6.924,2.55,0.17,4.34,2.53,0,1,8,2.5,1
105-05-5,0,0.0,1.22,0.21,3.56,1.81,0,0,0,2.71,1
106-46-7,2,0.0,1.23,0.23,3.48,0.63,0,0,0,2.65,1
57117-39-2,4,7.849,3.26,0.18,4.97,1.21,0,0,2,2.72,3
83-42-1,1,0.0,1.51,0.17,2.84,0.92,0,1,6,1.99,1
68359-37-5,2,6.576,2.38,0.19,4.28,2.72,0,1,13,2.7,3
591-27-5,0,0.0,1.23,0.16,0.89,0.69,0,1,1,1.22,2
3347-22-6,2,7.064,2.38,0.19,1.32,1.41,0,1,8,1.43,1
108-43-0,1,0.0,1.23,0.19,2.13,0.64,0,0,1,1.14,1
31508-00-6,5,6.529,2.31,0.21,6.23,1.21,0,0,0,4.38,1
615-74-7,1,0.0,1.24,0.2,2.46,0.84,0,0,2,0.62,3
15299-99-7,0,6.76,2.39,0.17,3.1,2.82,1,1,8,1.99,1
104-88-1,1,0.0,1.39,0.19,2.37,0.73,0,0,2,0.32,3
60-29-7,0,0.0,0.0,0.26,0.8,1.17,0,0,0,0.61,1
108-39-4,0,0.0,1.23,0.18,1.86,0.86,0,0,2,1.03,1
626-17-5,0,0.0,1.8,0.15,1.4,0.78,0,1,0,0.58,1
13936-21-5,0,7.24,2.63,0.17,4.11,2.78,0,0,10,3.02,3
611-06-3,2,0.0,1.5,0.18,3.11,0.7,0,1,4,2.07,1
120068-37-3,3,7.201,2.29,0.16,2.65,1.43,0,1,1,2.51,1
26002-80-2,0,6.329,2.38,0.19,4.58,3.1,0,0,12,2.62,3
947-04-6,0,2.89,0.12,0.29,2.46,2.85,1,1,2,0.29,3
38444-86-9,3,6.173,2.31,0.2,5.47,1.24,0,0,0,4.57,1
106-41-2,1,0.0,1.23,0.24,2.3,0.64,0,0,1,1.21,1
136426-54-5,2,7.657,3.37,0.15,4.85,1.83,1,1,4,1.94,1
39807-15-3,2,6.332,1.76,0.19,3.95,1.99,1,1,6,2.82,1
95-50-1,2,0.0,1.24,0.22,3.48,0.63,0,0,0,2.47,1
110235-47-7,0,6.219,2.56,0.16,2.96,1.73,0,1,0,2.45,1
298-07-7,1,2.565,0.08,0.31,4.27,4.31,0,0,10,0.62,3
61949-76-6,2,6.329,2.38,0.2,4.58,2.67,0,0,12,2.65,3
2691-41-0,0,4.174,0.63,0.13,2.36,1.23,0,1,0,-0.3,1
512-56-1,1,0.0,0.17,0.33,0.11,0.63,0,0,0,-0.06,1
91-58-7,1,6.29,2.37,0.18,3.95,1.04,0,0,0,3.63,2
"95-47-6,1330-20-7",0,0.0,1.24,0.21,2.94,1.06,0,0,0,1.15,3
71626-11-4,0,5.9,1.93,0.17,3.65,2.75,1,1,10,1.76,1
126-30-7,0,0.0,0.0,0.31,0.33,0.95,0,0,0,0.42,1
72-43-5,3,6.055,2.03,0.22,4.27,1.89,0,0,2,2.5,3
900-95-8,1,6.865,2.23,0.44,5.27,2.4,0,0,9,3.4,2
534-52-1,0,0.0,1.68,0.13,1.75,0.99,0,1,9,0.25,3
79-92-5,0,0.0,0.17,0.25,3.37,1.77,0,0,0,2.98,1
2243-62-1,0,6.423,2.39,0.16,2.02,1.13,0,1,0,0.46,1
462-08-8,0,0.0,1.23,0.16,-0.15,0.61,0,1,0,0.07,1
67562-39-4,7,8.186,3.27,0.19,5.69,1.19,0,0,2,3.45,3
61-82-5,0,0.0,0.95,0.13,-0.23,0.39,0,1,0,0.24,1
78-59-1,0,0.0,0.52,0.27,1.95,1.46,0,0,4,0.35,1
333-41-5,2,4.799,1.24,0.28,2.43,2.71,0,1,8,1.8,3
66332-96-5,0,6.094,2.29,0.15,4.18,2.28,1,1,6,1.65,3
90-41-5,0,5.837,2.31,0.16,3.13,1.32,0,1,0,1.44,1
115-96-8,4,0.0,0.12,0.32,2.36,1.35,0,0,9,0.16,1
76-12-0,4,0.0,0.0,0.29,2.96,0.28,0,0,0,1.84,1
52322-80-2,3,6.019,2.23,0.19,4.72,1.26,0,0,2,3.64,1
6639-30-1,3,0.0,1.25,0.23,4.37,0.82,0,0,0,3.78,2
764-13-6,0,0.0,0.72,0.31,3.04,1.28,0,0,0,2.41,1
872-05-9,0,1.099,0.15,0.36,4.68,2.33,0,0,0,3.22,3
74-11-3,1,0.0,1.36,0.17,2.3,0.75,0,0,4,1.0,3
34883-39-1,2,6.019,2.31,0.19,4.95,1.25,0,0,0,3.92,1
2593-15-9,4,0.0,0.93,0.28,2.07,1.02,0,1,1,2.22,1
90-43-7,0,5.837,2.31,0.16,3.13,1.29,0,0,3,1.34,3
38380-07-3,6,6.609,2.34,0.21,6.47,1.21,0,0,0,5.77,2
829-26-5,0,6.565,2.38,0.19,4.23,1.65,0,0,0,3.0,1
67564-91-4,0,4.716,1.08,0.25,3.83,3.57,0,1,1,3.03,1
91-20-3,0,6.136,1.25,0.21,3.56,1.56,0,0,0,2.15,1
57465-28-8,5,6.609,2.28,0.21,6.23,1.21,0,0,0,4.68,1
309-00-2,6,6.028,0.65,0.23,5.36,1.69,0,0,0,3.82,3
107534-96-3,1,5.22,1.59,0.22,4.01,2.49,0,1,2,2.0,1
59-50-7,1,0.0,1.24,0.2,2.46,0.84,0,0,2,0.98,3
98-95-3,0,0.0,1.5,0.15,1.89,0.73,0,1,4,0.66,1
579-10-2,0,0.0,1.29,0.17,1.95,1.2,1,1,2,0.07,1
95-16-9,1,0.0,2.08,0.21,1.5,0.78,0,1,0,0.8,1
88-72-2,0,0.0,1.51,0.16,2.24,0.93,0,1,6,1.3,1
175013-18-0,1,6.822,3.29,0.15,3.69,2.36,1,1,13,2.85,1
208-96-8,0,7.097,2.69,0.16,3.88,1.24,0,0,0,2.48,1
134-62-3,0,3.726,1.25,0.19,2.82,2.16,1,1,4,0.34,3
298-02-2,4,0.0,0.12,0.71,1.32,2.05,0,0,2,2.68,1
2050-68-2,2,6.196,2.27,0.19,4.95,1.25,0,0,0,3.58,1
61328-45-8,4,6.157,2.24,0.2,4.97,1.24,0,0,2,4.11,1
82558-50-7,0,6.124,2.06,0.17,2.6,3.01,1,1,9,1.85,3
103-69-5,0,0.0,1.2,0.19,2.19,1.3,0,1,0,1.05,1
36734-19-7,2,5.526,1.3,0.18,2.01,1.98,3,1,8,2.19,1
376-06-7,0,4.159,0.04,0.1,6.82,1.87,0,0,2,4.26,2
3296-90-0,2,0.0,0.0,0.32,1.39,0.84,0,0,0,0.42,1
25057-89-0,1,5.633,1.54,0.21,1.55,1.64,1,1,12,1.32,1
3268-87-9,8,7.529,2.52,0.19,5.03,1.2,0,0,4,3.12,3
1897-45-6,4,0.0,1.72,0.19,3.13,0.74,0,1,0,1.53,1
131341-86-1,0,6.766,2.44,0.12,1.42,1.32,0,1,5,2.56,1
99-65-0,0,0.0,1.71,0.13,1.89,0.79,0,1,8,0.77,1
51-28-5,0,0.0,1.7,0.12,1.4,0.79,0,1,9,0.31,1
95-69-2,1,0.0,1.24,0.2,2.46,0.88,0,1,0,1.37,1
112410-23-8,0,5.864,1.92,0.2,4.76,3.35,2,1,10,1.84,3
330-54-1,2,3.726,1.28,0.2,2.65,1.2,2,1,2,0.95,3
98-82-8,0,0.0,1.2,0.23,3.26,1.36,0,0,0,1.55,3
80844-07-1,0,6.297,3.05,0.19,4.77,3.41,0,0,8,3.6,3
85-68-7,0,5.833,2.29,0.17,4.09,2.76,0,0,17,1.01,3
108-60-1,2,0.0,0.0,0.3,2.27,1.25,0,0,0,1.02,1
87130-20-9,0,4.881,1.28,0.17,1.87,2.69,1,1,10,2.52,2
87-84-3,6,0.0,0.0,0.47,4.76,0.95,0,0,0,2.43,3
611-21-2,0,0.0,1.24,0.19,2.19,1.13,0,1,0,0.9,1
88-85-7,0,3.894,1.63,0.16,2.7,1.83,0,1,11,1.14,3
118-79-6,3,0.0,1.25,0.31,3.76,0.62,0,0,1,2.71,1
1071-83-6,1,0.0,0.29,0.27,-1.96,0.68,0,1,5,1.4,2
68-12-2,0,0.0,0.22,0.27,-0.27,0.52,1,0,0,-0.11,1
2050-76-2,2,6.565,2.39,0.18,3.75,1.04,0,0,3,1.19,3
2636-26-2,2,4.275,1.49,0.28,1.3,1.18,0,1,5,1.56,1
60207-90-1,2,6.117,1.51,0.18,4.17,2.48,0,1,8,2.06,1
98-15-7,1,0.0,1.2,0.15,3.95,0.76,0,0,0,2.34,2
634-93-5,3,0.0,1.25,0.22,3.31,0.65,0,1,0,2.04,1
2581-34-2,0,0.0,1.5,0.15,1.7,0.92,0,1,8,1.16,1
3209-22-1,2,0.0,1.51,0.17,3.11,0.7,0,1,4,2.16,1
59261-08-4,6,6.577,2.38,0.31,7.15,1.19,0,0,0,4.66,1
70124-77-5,0,6.654,2.98,0.16,4.25,3.3,0,1,16,3.6,3
95-64-7,0,0.0,1.24,0.2,2.19,1.09,0,1,0,0.8,1
542-18-7,1,0.0,1.23,0.22,2.88,0.65,0,0,0,2.35,1
117-81-7,0,5.42,1.37,0.22,5.43,5.02,0,0,18,2.38,3
88-19-7,1,0.0,1.47,0.24,0.78,0.97,0,1,6,0.29,1
108-57-6,0,0.0,1.54,0.17,3.39,1.06,0,0,0,2.54,1
87-68-3,6,0.0,0.65,0.32,3.66,0.4,0,0,0,3.82,1
944-22-9,3,3.726,1.2,0.57,2.72,1.94,0,0,2,1.89,3
15258-73-8,2,0.0,1.26,0.21,2.78,0.81,0,0,2,0.43,3
81777-89-1,1,5.053,1.24,0.2,2.68,1.72,1,1,3,1.6,1
134-32-7,0,6.29,2.38,0.16,2.64,1.1,0,1,0,1.44,1
6165-51-1,0,5.901,2.19,0.2,4.92,2.12,0,0,0,2.86,3
500-28-7,3,4.559,1.47,0.26,2.19,1.17,0,1,9,1.55,3
34643-46-4,5,4.627,1.21,0.44,3.63,2.17,0,0,6,3.77,1
120-71-8,0,0.0,1.24,0.17,1.58,1.05,0,1,1,0.69,1
21564-17-0,3,5.662,2.27,0.31,2.24,1.05,0,1,0,2.07,1
106-37-6,2,0.0,1.23,0.33,3.8,0.63,0,0,0,2.25,1
82-45-1,0,7.063,2.67,0.14,2.84,1.49,0,1,10,2.03,1
119-12-0,2,6.072,1.81,0.23,2.89,2.46,1,1,11,0.77,3
100-25-4,0,0.0,1.69,0.13,1.89,0.79,0,1,8,-0.4,3
2008-41-5,1,0.0,0.12,0.35,2.57,2.58,1,1,3,2.61,1
613-12-7,0,7.859,3.53,0.17,4.59,1.65,0,0,0,2.41,3
126-33-0,1,0.0,0.37,0.42,0.09,0.97,0,0,0,0.62,1
56-23-5,4,0.0,0.0,0.64,2.23,0.14,0,0,0,0.95,3
626-67-5,0,0.0,0.0,0.3,1.2,1.4,0,1,0,0.51,1
3766-81-2,0,4.123,1.35,0.18,2.39,2.08,1,0,5,0.94,3
89-69-0,3,0.0,1.49,0.19,3.7,0.68,0,1,4,1.84,1
79277-27-3,2,5.58,2.03,0.19,1.21,1.79,2,1,10,-0.1,3
636-30-6,3,0.0,1.25,0.22,3.31,0.65,0,1,0,2.33,1
101-14-4,2,6.188,2.23,0.19,3.84,1.5,0,1,0,2.33,1
82-05-3,0,8.117,3.72,0.15,4.18,1.76,0,0,5,2.12,3
2136-99-4,8,6.803,2.39,0.21,6.93,1.18,0,0,0,5.82,2
36559-22-5,4,6.285,2.34,0.2,5.99,1.23,0,0,0,4.53,1
123-91-1,0,0.0,0.0,0.2,-0.47,0.83,0,0,0,-0.29,1
143-50-0,10,6.405,0.11,0.21,4.91,1.27,0,0,2,3.19,3
99-08-1,0,0.0,1.49,0.16,2.24,0.92,0,1,4,1.02,1
123-63-7,0,0.0,0.0,0.18,0.7,1.33,0,0,3,0.28,1
38380-08-4,6,6.654,2.3,0.21,6.47,1.2,0,0,0,5.88,2
1634-04-4,0,0.0,0.0,0.33,1.21,0.96,0,0,0,0.18,1
35554-44-0,2,5.758,1.79,0.19,3.14,1.78,0,1,4,1.81,3
709-98-8,2,3.056,1.31,0.2,3.08,1.37,1,1,2,1.94,1
100-18-5,0,0.0,1.2,0.25,4.14,2.06,0,0,0,3.24,3
2032-65-7,1,3.498,1.32,0.2,2.38,1.6,1,0,5,1.88,1
1912-24-9,1,2.784,1.21,0.19,2.59,1.84,0,1,0,0.73,3
5428-54-6,0,0.0,1.48,0.15,1.7,0.92,0,1,5,0.86,3
110-02-1,1,0.0,0.95,0.32,1.17,0.44,0,0,0,0.79,1
83-32-9,0,6.816,2.35,0.17,3.96,1.47,0,0,0,2.92,1
27314-13-2,1,6.267,1.94,0.14,2.9,1.53,1,1,3,1.45,1
114369-43-6,1,6.262,2.07,0.18,4.4,2.41,0,1,0,2.2,1
133855-98-8/106325-08-0,1,6.866,2.22,0.16,4.4,2.05,0,1,5,1.84,1
91-15-6,0,4.239,1.85,0.15,1.4,0.79,0,1,0,0.55,1
143390-89-0,0,6.152,2.6,0.16,3.07,2.25,0,1,10,2.34,1
13684-63-4,0,5.538,2.22,0.15,2.09,1.99,2,1,11,2.22,1
576-24-9,2,0.0,1.25,0.2,2.73,0.64,0,0,1,1.23,1
95-57-8,1,0.0,1.24,0.19,2.13,0.65,0,0,1,1.21,1
67-68-5,1,0.0,0.24,0.74,-0.32,0.36,0,0,0,0.35,1
23031-36-9,0,5.011,0.85,0.21,3.4,2.82,0,0,11,3.06,1
96-45-7,1,0.0,0.22,0.23,-0.67,0.67,2,1,0,-0.02,1
119168-77-3,1,5.736,1.94,0.2,3.45,2.91,1,1,3,1.14,3
35065-27-1,6,6.609,2.34,0.21,6.47,1.19,0,0,0,5.56,2
76-13-1,3,0.0,0.0,0.23,2.78,0.28,0,0,0,1.66,1
13116-53-5,4,0.0,0.0,0.41,2.96,0.46,0,0,0,1.6,1
38444-90-5,3,6.326,2.27,0.2,5.47,1.23,0,0,0,4.58,1
37680-73-2,5,6.442,2.34,0.21,6.23,1.21,0,0,0,5.05,1
74918-40-4,2,7.557,3.25,0.17,3.93,1.24,0,0,2,3.01,3
1067-97-6,1,0.0,0.0,1.05,3.47,3.43,0,0,3,3.92,2
218-01-9,0,8.626,4.72,0.16,5.17,1.87,0,0,0,2.24,3
96-76-4,0,0.0,1.22,0.26,3.92,2.18,0,0,4,2.46,3
56558-16-8,5,6.405,2.39,0.21,6.23,1.21,0,0,0,4.81,2
5707-44-8,0,6.046,2.26,0.18,4.41,1.85,0,0,0,2.82,3
38380-02-8,5,6.442,2.34,0.21,6.23,1.21,0,0,0,4.7,1
2463-84-5,3,4.751,1.48,0.26,2.19,1.17,0,1,9,1.89,1
13684-56-5,0,5.527,2.18,0.15,2.09,2.21,2,1,12,2.2,1
108-90-7,1,0.0,0.0,0.36,2.57,1.38,0,0,0,1.31,1
41122-70-7,0,6.637,2.45,0.2,4.8,2.91,0,1,0,3.59,3
56558-17-9,5,6.442,2.33,0.21,6.23,1.21,0,0,0,4.81,1
526-73-8,0,0.0,1.25,0.21,3.26,1.26,0,0,0,2.31,1
106-48-9,1,0.0,1.23,0.19,2.13,0.64,0,0,1,1.42,1
103-83-3,0,0.0,1.19,0.23,2.24,1.24,0,1,0,1.05,1
335-67-1,0,2.303,0.07,0.09,4.17,1.07,0,0,2,3.12,2
91-94-1,2,6.477,2.28,0.18,3.59,1.31,0,1,0,2.23,1
"127-20-8,CAE_NA_01",2,0.0,0.19,0.32,1.0,0.48,0,0,0,0.76,2
98-10-2,1,0.0,1.45,0.24,0.43,0.76,0,1,4,0.52,1
95-80-7,0,0.0,1.24,0.18,1.25,0.92,0,1,0,1.45,2
131-09-9,1,7.084,2.66,0.16,3.42,1.44,0,0,10,2.31,3
22224-92-6,2,4.66,1.2,0.27,3.75,2.49,0,1,14,2.04,1
38444-93-8,4,6.326,2.35,0.2,5.99,1.23,0,0,0,4.2,1
1836-77-7,3,6.491,2.46,0.17,4.3,1.32,0,1,6,3.31,1
91-22-5,0,6.136,2.37,0.16,2.07,0.99,0,1,0,0.49,3
77-73-6,0,3.714,0.66,0.21,3.27,1.56,0,0,0,2.38,2
39001-02-0,8,8.281,3.28,0.19,5.91,1.18,0,0,2,2.89,3
3229-00-3,4,0.0,0.0,0.43,4.2,0.79,0,0,0,2.17,3
121-69-7,0,0.0,1.2,0.2,2.19,1.06,0,1,0,0.96,1
60123-65-1,5,6.292,2.26,0.2,5.22,1.23,0,0,2,4.08,3
91-96-3,0,7.066,2.51,0.17,2.24,2.99,2,1,6,-0.03,3
90-30-2,0,7.15,3.37,0.16,4.28,1.75,0,1,0,3.28,1
10315-98-7,0,0.0,0.0,0.28,1.0,1.8,0,1,1,0.23,1
91-66-7,0,0.0,1.17,0.19,2.81,1.86,0,1,0,2.04,1
74-31-7,0,6.634,3.12,0.16,4.34,2.03,0,1,0,3.13,1
35693-99-3,4,6.326,2.35,0.21,5.99,1.22,0,0,0,4.45,1
1163-19-5,10,6.747,2.34,0.32,7.39,1.19,0,0,2,2.29,3
51207-31-9,4,7.856,3.24,0.18,4.97,1.21,0,0,2,3.69,3
741-58-2,4,4.345,1.11,0.42,1.57,2.79,0,1,12,2.94,1
1861-40-1,0,5.324,1.58,0.15,4.21,2.61,0,1,8,3.2,3
2531-84-2,0,7.819,3.53,0.17,4.59,1.66,0,0,0,3.48,1
129-43-1,0,7.063,2.67,0.14,2.84,1.46,0,0,13,2.31,1
56-55-3,0,8.633,4.71,0.16,5.17,1.86,0,0,0,2.48,3
60123-64-0,5,6.263,2.28,0.2,5.22,1.23,0,0,2,4.21,1
3481-20-7,4,0.0,1.26,0.22,3.62,0.64,0,1,0,2.52,1
"294-62-2,830-13-7",0,2.565,0.0,0.35,5.0,3.0,0,0,0,3.95,2
96489-71-3,2,5.904,1.74,0.25,4.75,2.86,1,1,4,1.68,3
145-73-3,0,2.303,0.24,0.17,-0.06,1.38,0,0,12,-0.4,3
217-59-4,0,8.598,4.69,0.16,5.17,1.88,0,0,0,2.41,3
1825-31-6,2,6.451,2.38,0.19,4.49,1.04,0,0,0,3.75,1
962-58-3,1,4.799,1.24,0.22,2.88,2.71,0,1,11,-0.35,3
118-96-7,0,0.0,1.83,0.13,2.36,1.06,0,1,16,0.99,1
52663-63-5,6,6.561,2.37,0.21,6.47,1.2,0,0,0,5.54,2
101-53-1,0,5.768,2.21,0.18,3.4,1.47,0,0,1,1.4,3
608-73-1,6,0.0,0.0,0.32,4.09,0.95,0,0,0,2.81,1
51892-26-3,2,5.901,2.24,0.18,4.47,1.27,0,0,2,3.97,1
1212-29-9,1,3.045,0.08,0.27,2.73,3.0,2,1,0,0.65,3
